GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Credit Application Platform,com.creditapp.borrower.model,ApplicationHistory.ApplicationHistoryBuilder,25,65,0,0,0,1,2,10,2,10
Credit Application Platform,com.creditapp.borrower.model,LoanType,0,45,0,0,0,8,0,1,0,1
Credit Application Platform,com.creditapp.borrower.model,LoanPreference,474,0,86,0,14,0,69,0,26,0
Credit Application Platform,com.creditapp.borrower.model,RatePreference,21,0,0,0,4,0,1,0,1,0
Credit Application Platform,com.creditapp.borrower.model,DocumentType,0,33,0,0,0,6,0,1,0,1
Credit Application Platform,com.creditapp.borrower.model,EmploymentStatus,39,0,0,0,7,0,1,0,1,0
Credit Application Platform,com.creditapp.borrower.model,ApplicationDocument,526,0,96,0,18,0,79,0,31,0
Credit Application Platform,com.creditapp.borrower.model,BorrowerNotification.BorrowerNotificationBuilder,36,81,0,0,0,1,3,12,3,12
Credit Application Platform,com.creditapp.borrower.model,ApplicationHistory,107,52,12,0,10,8,22,8,16,8
Credit Application Platform,com.creditapp.borrower.model,ApplicationDetails.ApplicationDetailsBuilder,53,28,0,0,0,1,8,3,8,3
Credit Application Platform,com.creditapp.borrower.model,BorrowerNotification,470,88,102,0,2,14,66,16,15,16
Credit Application Platform,com.creditapp.borrower.model,Application.ApplicationBuilder,64,108,1,1,0,1,7,14,6,14
Credit Application Platform,com.creditapp.borrower.model,Application,96,185,13,5,8,25,15,36,8,34
Credit Application Platform,com.creditapp.borrower.model,ApplicationStatus,0,57,0,0,0,10,0,1,0,1
Credit Application Platform,com.creditapp.borrower.model,ApplicationDocument.ApplicationDocumentBuilder,108,0,0,0,1,0,14,0,14,0
Credit Application Platform,com.creditapp.borrower.model,Currency,0,21,0,0,0,4,0,1,0,1
Credit Application Platform,com.creditapp.borrower.model,ApplicationDetails,111,43,14,0,17,3,25,5,18,5
Credit Application Platform,com.creditapp.borrower.controller,BorrowerNotificationController,0,97,0,4,0,16,0,6,0,4
Credit Application Platform,com.creditapp.borrower.controller,BorrowerOfferController,42,58,2,0,10,11,3,4,2,4
Credit Application Platform,com.creditapp.borrower.controller,ScenarioCalculatorController,0,25,0,0,0,6,0,3,0,3
Credit Application Platform,com.creditapp.borrower.controller,HelpContentController,0,19,0,0,0,5,0,3,0,3
Credit Application Platform,com.creditapp.borrower.controller,BorrowerHistoryController,0,67,0,0,0,18,0,4,0,4
